"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SCN8A",1.02880638952078,11.5684589023528,43.4573119807277,7.17115005330674e-297,8.02617179043178e-296,668.715313946363
"SCN2A",1.76384828440578,11.3146366941663,42.6606720522184,7.41212965624067e-289,7.98862862950383e-288,650.587365578603
"GRIA2",1.59744623611829,11.4718974727529,41.8845770876033,4.63034526276784e-281,4.81225168380515e-280,632.563225721298
"TCTE1",1.35564375369012,10.8127903805531,41.006626445775,2.92779906592197e-272,2.93789492476997e-271,612.466368029476
"GABRB3",1.53921814010473,11.3374283180925,39.7671495815812,7.09931668314722e-260,6.66419727353497e-259,583.832006491634
"BBS1",0.15805043566532,11.9942075996309,39.7744577103756,6.00280436157801e-260,5.82272023073067e-259,582.939192918998
"DLG4",0.436797507681573,12.1300304453584,39.4930331409641,3.82534031149867e-257,3.4786688457691e-256,576.49725444835
"STXBP1",0.51152532348557,12.1229811382844,37.9823213831596,3.78535398838252e-242,3.33799397157368e-241,542.004135533127
"MCF2L2",0.636935852818405,11.7213050810236,37.9131416968515,1.82887446985434e-241,1.56530138449298e-240,540.87962627049
"UNC79",1.24135923591025,11.3903208947771,37.7188453286878,1.52101171859284e-239,1.26461260031576e-238,536.937913031914
"GABRB2",1.74213995729387,11.184806289395,36.2654431713497,2.9935813399943e-225,2.41981158316206e-224,504.194715470028
"NRXN1",1.15917660129026,11.58536690833,35.8660883270221,2.40335520504871e-221,1.89020639099777e-220,494.904971621689
"SLC6A1",1.18812364954278,11.6979934936808,35.8551034969663,3.07658360982679e-221,2.35601534331473e-220,494.58276025375
"UNC13D",-0.391984124678302,11.9386018576767,-34.9981170252166,6.74401823349811e-213,5.03207514345628e-212,474.677035107899
"RORB",1.49850859284768,11.0840627295137,34.83783183819,2.41498389650901e-211,1.75690078471031e-210,472.186493420946
"TRIOBP",-0.271988722855355,12.0296076476078,-34.5179775870848,3.00598446179886e-208,2.13351580093529e-207,463.915397475068
